price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
price:35.0|title:玛丽亚海之情干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞玛丽亚海之情干红葡萄酒
price:138.0|title:贝尔莱珍藏干红葡萄酒（里奥哈）（2011）|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱珍藏干红葡萄酒（里奥哈）（2011）
title:火地岛经典赤霞珠干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞火地岛经典赤霞珠干红葡萄酒|price:49.0
title:恋爱季甜桃红高泡葡萄酒（又名：恋爱季低醇桃红高泡葡萄酒）|sezhe:酒精度8%vol|crumb:选酒中心＞起泡酒＞甜起泡酒＞恋爱季甜桃红高泡葡萄酒（又名：恋爱季低醇桃红高泡葡萄酒）|price:65.0
title:康纳斯顿梅洛干红葡萄酒（黑标）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿梅洛干红葡萄酒（黑标）|price:59.0
title:康纳斯顿梅洛干红葡萄酒（黑标）-6支装|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞康纳斯顿梅洛干红葡萄酒（黑标）-6支装|price:269.0
title:赵薇斯奈哈克城堡干红葡萄酒2010|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇斯奈哈克城堡干红葡萄酒2010|price:168.0
title:普莱萨斯庄园干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞普莱萨斯庄园干红葡萄酒|price:也买价:298.0
title:佳雅干红葡萄酒|sezhe:酒精度12.00%|crumb:选酒中心＞红葡萄酒＞干红＞佳雅干红葡萄酒|price:35.0
title:柏图斯庄主的私家珍藏-波尔多侯爵干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞柏图斯庄主的私家珍藏-波尔多侯爵干红葡萄酒|price:139.0
title:拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)|sezhe:酒精度12-13.5%(不同年份不同批次，度数不同)|crumb:选酒中心＞红葡萄酒＞干红＞拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)|price:69.0
title:宝石庄园干红葡萄酒2007（又名：小宝嘉龙）|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞宝石庄园干红葡萄酒2007（又名：小宝嘉龙）|price:299.0
